Features,Accuracy
"['open_pc', 'obv']",31.868131868131865
"['open_pc', 'adx']",36.63003663003663
"['open_pc', 'ht_trendline']",36.996336996337
"['open_pc', 'kama']",35.16483516483517
"['open_pc', 'mama']",35.8974358974359
"['open_pc', 'fama']",36.996336996337
"['open_pc', 'sar']",30.4029304029304
"['open_pc', 'volatility']",34.43223443223443
"['high_pc', 'low_pc']",34.43223443223443
"['high_pc', 'close_pc']",38.095238095238095
"['high_pc', 'volume_pc']",33.6996336996337
"['high_pc', 'vwap_pc']",34.43223443223443
"['high_pc', 'fracocp']",36.996336996337
"['high_pc', 'frachp']",34.43223443223443
"['high_pc', 'fraclp']",33.33333333333333
"['high_pc', 'sma_1']",34.065934065934066
"['high_pc', 'sma_2']",32.234432234432234
"['high_pc', 'sma_3']",34.065934065934066
"['high_pc', 'sma_4']",33.6996336996337
"['high_pc', 'ema_1']",38.46153846153847
"['high_pc', 'ema_2']",34.798534798534796
"['high_pc', 'ema_3']",34.798534798534796
"['high_pc', 'ema_4']",35.53113553113553
"['high_pc', 'atr']",38.095238095238095
"['high_pc', 'natr']",32.967032967032964
"['high_pc', 'tr']",31.135531135531135
"['high_pc', 'rsi']",37.72893772893773
"['high_pc', 'slow_k']",30.4029304029304
"['high_pc', 'slow_d']",34.065934065934066
"['high_pc', 'three_black_crows']",37.362637362637365
"['high_pc', 'three_inside']",33.33333333333333
"['high_pc', 'three_lines']",33.33333333333333
"['high_pc', 'three_outside']",34.065934065934066
"['high_pc', 'three_stars']",33.33333333333333
"['high_pc', 'three_whitesoldiers']",0.0
"['high_pc', 'abandoned_baby']",33.33333333333333
"['high_pc', 'advance_block']",0.0
"['high_pc', 'belthold']",31.5018315018315
"['high_pc', 'breakaway']",33.33333333333333
"['high_pc', 'closing_marubozu']",35.53113553113553
"['high_pc', 'conceal_baby']",33.33333333333333
"['high_pc', 'counterattack']",38.095238095238095
"['high_pc', 'dark_cloud_cover']",33.6996336996337
"['high_pc', 'doji']",0.0
"['high_pc', 'doji_star']",33.6996336996337
"['high_pc', 'dragonfly_doji']",0.0
"['high_pc', 'engulfing']",32.6007326007326
"['high_pc', 'evening_doji_star']",0.0
"['high_pc', 'evening_star']",0.0
"['high_pc', 'gap_side_by_side']",0.0
"['high_pc', 'gravestone_doji']",0.0
"['high_pc', 'hammer']",39.1941391941392
"['high_pc', 'hanging_man']",0.0
"['high_pc', 'harami']",32.6007326007326
"['high_pc', 'harami_cross']",32.234432234432234
"['high_pc', 'high_wave']",37.72893772893773
"['high_pc', 'hikkake']",28.205128205128204
"['high_pc', 'homing_pigeon']",28.205128205128204
"['high_pc', 'identical_three_crows']",0.0
"['high_pc', 'in_neck']",0.0
"['high_pc', 'inverted_hammer']",0.0
"['high_pc', 'kicking']",0.0
"['high_pc', 'kicking_by_length']",33.33333333333333
"['high_pc', 'ladder_bottom']",0.0
"['high_pc', 'long_leader']",0.0
"['high_pc', 'long_line']",35.16483516483517
"['high_pc', 'marubozu']",34.798534798534796
"['high_pc', 'matching_low']",35.8974358974359
"['high_pc', 'mat_hold']",28.205128205128204
"['high_pc', 'morning_doji_star']",0.0
"['high_pc', 'morning_star']",33.6996336996337
"['high_pc', 'on_neck']",0.0
"['high_pc', 'piercing']",28.57142857142857
"['high_pc', 'rickshaw_man']",39.1941391941392
"['high_pc', 'rise_fall_three_methods']",33.33333333333333
"['high_pc', 'separating_lines']",32.6007326007326
"['high_pc', 'shooting_star']",0.0
"['high_pc', 'short_line']",33.33333333333333
"['high_pc', 'spinning_top']",38.82783882783883
"['high_pc', 'stalled_pattern']",0.0
"['high_pc', 'stick_sandwich']",0.0
"['high_pc', 'takuri']",32.967032967032964
"['high_pc', 'tasuki_gap']",33.33333333333333
"['high_pc', 'thrusting']",0.0
"['high_pc', 'tristar']",36.996336996337
"['high_pc', 'unique_3_river']",34.065934065934066
"['high_pc', 'upside_gap_2_crows']",33.33333333333333
"['high_pc', 'side_gap_3_methods']",33.6996336996337
"['high_pc', 'ad']",30.4029304029304
"['high_pc', 'adosc']",35.53113553113553
"['high_pc', 'obv']",31.135531135531135
"['high_pc', 'adx']",36.996336996337
"['high_pc', 'ht_trendline']",35.53113553113553
"['high_pc', 'kama']",35.16483516483517
"['high_pc', 'mama']",35.53113553113553
"['high_pc', 'fama']",33.6996336996337
"['high_pc', 'sar']",36.26373626373626
"['high_pc', 'volatility']",31.5018315018315
"['low_pc', 'close_pc']",37.362637362637365
"['low_pc', 'volume_pc']",30.4029304029304
"['low_pc', 'vwap_pc']",32.967032967032964
"['low_pc', 'fracocp']",28.205128205128204
"['low_pc', 'frachp']",37.72893772893773
"['low_pc', 'fraclp']",34.43223443223443
"['low_pc', 'sma_1']",34.065934065934066
"['low_pc', 'sma_2']",35.53113553113553
"['low_pc', 'sma_3']",34.065934065934066
"['low_pc', 'sma_4']",34.798534798534796
"['low_pc', 'ema_1']",38.82783882783883
"['low_pc', 'ema_2']",33.33333333333333
"['low_pc', 'ema_3']",34.43223443223443
"['low_pc', 'ema_4']",34.798534798534796
"['low_pc', 'atr']",34.065934065934066
"['low_pc', 'natr']",32.967032967032964
"['low_pc', 'tr']",34.065934065934066
"['low_pc', 'rsi']",37.72893772893773
"['low_pc', 'slow_k']",29.304029304029307
"['low_pc', 'slow_d']",34.43223443223443
"['low_pc', 'three_black_crows']",33.33333333333333
"['low_pc', 'three_inside']",33.33333333333333
"['low_pc', 'three_lines']",0.0
"['low_pc', 'three_outside']",34.065934065934066
"['low_pc', 'three_stars']",0.0
"['low_pc', 'three_whitesoldiers']",25.64102564102564
"['low_pc', 'abandoned_baby']",33.33333333333333
"['low_pc', 'advance_block']",33.33333333333333
"['low_pc', 'belthold']",31.5018315018315
"['low_pc', 'breakaway']",0.0
"['low_pc', 'closing_marubozu']",35.53113553113553
"['low_pc', 'conceal_baby']",0.0
"['low_pc', 'counterattack']",38.095238095238095
"['low_pc', 'dark_cloud_cover']",38.46153846153847
"['low_pc', 'doji']",0.0
"['low_pc', 'doji_star']",33.6996336996337
"['low_pc', 'dragonfly_doji']",0.0
"['low_pc', 'engulfing']",32.6007326007326
"['low_pc', 'evening_doji_star']",33.33333333333333
"['low_pc', 'evening_star']",35.8974358974359
"['low_pc', 'gap_side_by_side']",28.205128205128204
"['low_pc', 'gravestone_doji']",0.0
"['low_pc', 'hammer']",39.56043956043956
"['low_pc', 'hanging_man']",32.6007326007326
"['low_pc', 'harami']",32.6007326007326
"['low_pc', 'harami_cross']",32.234432234432234
"['low_pc', 'high_wave']",37.72893772893773
"['low_pc', 'hikkake']",33.33333333333333
"['low_pc', 'homing_pigeon']",34.43223443223443
"['low_pc', 'identical_three_crows']",33.33333333333333
"['low_pc', 'in_neck']",28.205128205128204
"['low_pc', 'inverted_hammer']",35.8974358974359
"['low_pc', 'kicking']",33.33333333333333
"['low_pc', 'kicking_by_length']",0.0
"['low_pc', 'ladder_bottom']",32.967032967032964
"['low_pc', 'long_leader']",0.0
"['low_pc', 'long_line']",35.16483516483517
"['low_pc', 'marubozu']",34.798534798534796
"['low_pc', 'matching_low']",28.205128205128204
"['low_pc', 'mat_hold']",28.205128205128204
"['low_pc', 'morning_doji_star']",27.83882783882784
"['low_pc', 'morning_star']",0.0
"['low_pc', 'on_neck']",28.205128205128204
"['low_pc', 'piercing']",31.135531135531135
"['low_pc', 'rickshaw_man']",0.0
"['low_pc', 'rise_fall_three_methods']",0.0
"['low_pc', 'separating_lines']",32.6007326007326
"['low_pc', 'shooting_star']",32.6007326007326
"['low_pc', 'short_line']",31.5018315018315
"['low_pc', 'spinning_top']",38.82783882783883
"['low_pc', 'stalled_pattern']",28.205128205128204
"['low_pc', 'stick_sandwich']",32.967032967032964
"['low_pc', 'takuri']",27.472527472527474
"['low_pc', 'tasuki_gap']",33.33333333333333
"['low_pc', 'thrusting']",28.205128205128204
"['low_pc', 'tristar']",33.6996336996337
"['low_pc', 'unique_3_river']",33.33333333333333
"['low_pc', 'upside_gap_2_crows']",28.57142857142857
"['low_pc', 'side_gap_3_methods']",33.6996336996337
"['low_pc', 'ad']",29.304029304029307
"['low_pc', 'adosc']",35.53113553113553
"['low_pc', 'obv']",32.967032967032964
"['low_pc', 'adx']",31.868131868131865
"['low_pc', 'ht_trendline']",37.362637362637365
"['low_pc', 'kama']",35.53113553113553
"['low_pc', 'mama']",37.362637362637365
"['low_pc', 'fama']",37.362637362637365
"['low_pc', 'sar']",30.76923076923077
"['low_pc', 'volatility']",31.868131868131865
"['close_pc', 'volume_pc']",32.6007326007326
"['close_pc', 'vwap_pc']",35.16483516483517
"['close_pc', 'fracocp']",37.362637362637365
"['close_pc', 'frachp']",41.75824175824176
"['close_pc', 'fraclp']",29.304029304029307
"['close_pc', 'sma_1']",35.8974358974359
"['close_pc', 'sma_2']",33.33333333333333
"['close_pc', 'sma_3']",34.065934065934066
"['close_pc', 'sma_4']",34.43223443223443
"['close_pc', 'ema_1']",39.1941391941392
"['close_pc', 'ema_2']",34.43223443223443
"['close_pc', 'ema_3']",35.16483516483517
"['close_pc', 'ema_4']",35.16483516483517
"['close_pc', 'atr']",36.63003663003663
"['close_pc', 'natr']",31.868131868131865
"['close_pc', 'tr']",35.53113553113553
"['close_pc', 'rsi']",37.362637362637365
"['close_pc', 'slow_k']",31.5018315018315
"['close_pc', 'slow_d']",34.43223443223443
"['close_pc', 'three_black_crows']",38.46153846153847
"['close_pc', 'three_inside']",33.33333333333333
"['close_pc', 'three_lines']",0.0
"['close_pc', 'three_outside']",34.065934065934066
"['close_pc', 'three_stars']",33.33333333333333
"['close_pc', 'three_whitesoldiers']",32.6007326007326
"['close_pc', 'abandoned_baby']",0.0
"['close_pc', 'advance_block']",27.472527472527474
"['close_pc', 'belthold']",31.5018315018315
"['close_pc', 'breakaway']",41.02564102564102
"['close_pc', 'closing_marubozu']",35.53113553113553
"['close_pc', 'conceal_baby']",0.0
"['close_pc', 'counterattack']",28.205128205128204
"['close_pc', 'dark_cloud_cover']",33.6996336996337
"['close_pc', 'doji']",38.46153846153847
"['close_pc', 'doji_star']",28.205128205128204
"['close_pc', 'dragonfly_doji']",23.44322344322344
"['close_pc', 'engulfing']",33.33333333333333
"['close_pc', 'evening_doji_star']",38.46153846153847
"['close_pc', 'evening_star']",38.095238095238095
"['close_pc', 'gap_side_by_side']",35.16483516483517
"['close_pc', 'gravestone_doji']",38.46153846153847
"['close_pc', 'hammer']",39.1941391941392
"['close_pc', 'hanging_man']",32.6007326007326
"['close_pc', 'harami']",37.362637362637365
"['close_pc', 'harami_cross']",32.234432234432234
"['close_pc', 'high_wave']",37.72893772893773
"['close_pc', 'hikkake']",28.205128205128204
"['close_pc', 'homing_pigeon']",28.93772893772894
"['close_pc', 'identical_three_crows']",33.33333333333333
"['close_pc', 'in_neck']",0.0
"['close_pc', 'inverted_hammer']",38.82783882783883
"['close_pc', 'kicking']",33.33333333333333
"['close_pc', 'kicking_by_length']",33.33333333333333
"['close_pc', 'ladder_bottom']",28.205128205128204
"['close_pc', 'long_leader']",38.46153846153847
"['close_pc', 'long_line']",35.16483516483517
"['close_pc', 'marubozu']",34.798534798534796
"['close_pc', 'matching_low']",28.205128205128204
"['close_pc', 'mat_hold']",28.205128205128204
"['close_pc', 'morning_doji_star']",33.33333333333333
"['close_pc', 'morning_star']",31.868131868131865
"['close_pc', 'on_neck']",28.205128205128204
"['close_pc', 'piercing']",33.6996336996337
"['close_pc', 'rickshaw_man']",27.472527472527474
"['close_pc', 'rise_fall_three_methods']",33.33333333333333
"['close_pc', 'separating_lines']",32.6007326007326
"['close_pc', 'shooting_star']",28.205128205128204
"['close_pc', 'short_line']",31.5018315018315
"['close_pc', 'spinning_top']",38.82783882783883
"['close_pc', 'stalled_pattern']",33.33333333333333
"['close_pc', 'stick_sandwich']",28.205128205128204
"['close_pc', 'takuri']",39.92673992673993
"['close_pc', 'tasuki_gap']",33.33333333333333
"['close_pc', 'thrusting']",32.967032967032964
"['close_pc', 'tristar']",0.0
"['close_pc', 'unique_3_river']",28.205128205128204
"['close_pc', 'upside_gap_2_crows']",41.02564102564102
"['close_pc', 'side_gap_3_methods']",33.6996336996337
"['close_pc', 'ad']",37.362637362637365
"['close_pc', 'adosc']",35.8974358974359
"['close_pc', 'obv']",33.6996336996337
"['close_pc', 'adx']",35.16483516483517
"['close_pc', 'ht_trendline']",34.43223443223443
"['close_pc', 'kama']",35.16483516483517
"['close_pc', 'mama']",38.46153846153847
"['close_pc', 'fama']",37.362637362637365
"['close_pc', 'sar']",35.8974358974359
"['close_pc', 'volatility']",32.6007326007326
"['volume_pc', 'vwap_pc']",30.036630036630036
"['volume_pc', 'fracocp']",30.4029304029304
"['volume_pc', 'frachp']",35.16483516483517
"['volume_pc', 'fraclp']",37.362637362637365
"['volume_pc', 'sma_1']",35.53113553113553
"['volume_pc', 'sma_2']",30.76923076923077
"['volume_pc', 'sma_3']",32.6007326007326
"['volume_pc', 'sma_4']",35.16483516483517
"['volume_pc', 'ema_1']",35.16483516483517
"['volume_pc', 'ema_2']",36.26373626373626
"['volume_pc', 'ema_3']",28.205128205128204
"['volume_pc', 'ema_4']",27.472527472527474
"['volume_pc', 'atr']",34.065934065934066
"['volume_pc', 'natr']",34.065934065934066
"['volume_pc', 'tr']",35.53113553113553
"['volume_pc', 'rsi']",36.26373626373626
"['volume_pc', 'slow_k']",30.036630036630036
"['volume_pc', 'slow_d']",39.92673992673993
"['volume_pc', 'three_black_crows']",35.8974358974359
"['volume_pc', 'three_inside']",33.33333333333333
"['volume_pc', 'three_lines']",0.0
"['volume_pc', 'three_outside']",34.065934065934066
"['volume_pc', 'three_stars']",0.0
"['volume_pc', 'three_whitesoldiers']",31.5018315018315
"['volume_pc', 'abandoned_baby']",0.0
"['volume_pc', 'advance_block']",34.065934065934066
"['volume_pc', 'belthold']",31.5018315018315
"['volume_pc', 'breakaway']",36.63003663003663
"['volume_pc', 'closing_marubozu']",35.53113553113553
"['volume_pc', 'conceal_baby']",0.0
"['volume_pc', 'counterattack']",38.095238095238095
"['volume_pc', 'dark_cloud_cover']",0.0
"['volume_pc', 'doji']",31.135531135531135
"['volume_pc', 'doji_star']",33.6996336996337
"['volume_pc', 'dragonfly_doji']",26.00732600732601
"['volume_pc', 'engulfing']",32.6007326007326
"['volume_pc', 'evening_doji_star']",35.8974358974359
"['volume_pc', 'evening_star']",36.996336996337
"['volume_pc', 'gap_side_by_side']",28.57142857142857
"['volume_pc', 'gravestone_doji']",28.205128205128204
"['volume_pc', 'hammer']",37.72893772893773
"['volume_pc', 'hanging_man']",27.472527472527474
"['volume_pc', 'harami']",32.6007326007326
"['volume_pc', 'harami_cross']",32.234432234432234
"['volume_pc', 'high_wave']",37.72893772893773
"['volume_pc', 'hikkake']",34.43223443223443
"['volume_pc', 'homing_pigeon']",0.0
"['volume_pc', 'identical_three_crows']",0.0
"['volume_pc', 'in_neck']",28.57142857142857
"['volume_pc', 'inverted_hammer']",36.996336996337
"['volume_pc', 'kicking']",0.0
"['volume_pc', 'kicking_by_length']",0.0
"['volume_pc', 'ladder_bottom']",33.6996336996337
"['volume_pc', 'long_leader']",30.4029304029304
"['volume_pc', 'long_line']",32.234432234432234
"['volume_pc', 'marubozu']",34.798534798534796
"['volume_pc', 'matching_low']",32.6007326007326
"['volume_pc', 'mat_hold']",27.472527472527474
"['volume_pc', 'morning_doji_star']",0.0
"['volume_pc', 'morning_star']",0.0
"['volume_pc', 'on_neck']",28.205128205128204
"['volume_pc', 'piercing']",31.868131868131865
"['volume_pc', 'rickshaw_man']",30.036630036630036
"['volume_pc', 'rise_fall_three_methods']",0.0
"['volume_pc', 'separating_lines']",32.6007326007326
"['volume_pc', 'shooting_star']",33.33333333333333
"['volume_pc', 'short_line']",31.5018315018315
"['volume_pc', 'spinning_top']",38.82783882783883
"['volume_pc', 'stalled_pattern']",0.0
"['volume_pc', 'stick_sandwich']",0.0
"['volume_pc', 'takuri']",0.0
"['volume_pc', 'tasuki_gap']",33.33333333333333
"['volume_pc', 'thrusting']",26.00732600732601
"['volume_pc', 'tristar']",0.0
"['volume_pc', 'unique_3_river']",0.0
"['volume_pc', 'upside_gap_2_crows']",35.8974358974359
"['volume_pc', 'side_gap_3_methods']",33.6996336996337
"['volume_pc', 'ad']",31.135531135531135
"['volume_pc', 'adosc']",36.26373626373626
"['volume_pc', 'obv']",31.5018315018315
"['volume_pc', 'adx']",35.53113553113553
"['volume_pc', 'ht_trendline']",35.8974358974359
"['volume_pc', 'kama']",33.33333333333333
"['volume_pc', 'mama']",29.67032967032967
"['volume_pc', 'fama']",31.5018315018315
"['volume_pc', 'sar']",32.967032967032964
"['volume_pc', 'volatility']",33.6996336996337
"['vwap_pc', 'fracocp']",40.29304029304029
"['vwap_pc', 'frachp']",30.4029304029304
"['vwap_pc', 'fraclp']",32.967032967032964
"['vwap_pc', 'sma_1']",35.16483516483517
"['vwap_pc', 'sma_2']",35.16483516483517
"['vwap_pc', 'sma_3']",33.6996336996337
"['vwap_pc', 'sma_4']",34.798534798534796
"['vwap_pc', 'ema_1']",38.82783882783883
"['vwap_pc', 'ema_2']",32.967032967032964
"['vwap_pc', 'ema_3']",34.065934065934066
"['vwap_pc', 'ema_4']",34.798534798534796
"['vwap_pc', 'atr']",38.095238095238095
"['vwap_pc', 'natr']",33.33333333333333
"['vwap_pc', 'tr']",29.67032967032967
"['vwap_pc', 'rsi']",37.72893772893773
"['vwap_pc', 'slow_k']",29.67032967032967
"['vwap_pc', 'slow_d']",34.065934065934066
"['vwap_pc', 'three_black_crows']",35.16483516483517
"['vwap_pc', 'three_inside']",33.33333333333333
"['vwap_pc', 'three_lines']",0.0
"['vwap_pc', 'three_outside']",34.065934065934066
"['vwap_pc', 'three_stars']",0.0
"['vwap_pc', 'three_whitesoldiers']",0.0
"['vwap_pc', 'abandoned_baby']",38.46153846153847
"['vwap_pc', 'advance_block']",33.33333333333333
"['vwap_pc', 'belthold']",31.5018315018315
"['vwap_pc', 'breakaway']",33.33333333333333
"['vwap_pc', 'closing_marubozu']",35.53113553113553
"['vwap_pc', 'conceal_baby']",33.33333333333333
"['vwap_pc', 'counterattack']",38.095238095238095
"['vwap_pc', 'dark_cloud_cover']",38.82783882783883
"['vwap_pc', 'doji']",31.135531135531135
"['vwap_pc', 'doji_star']",33.6996336996337
"['vwap_pc', 'dragonfly_doji']",27.472527472527474
"['vwap_pc', 'engulfing']",32.6007326007326
"['vwap_pc', 'evening_doji_star']",33.33333333333333
"['vwap_pc', 'evening_star']",0.0
"['vwap_pc', 'gap_side_by_side']",28.205128205128204
"['vwap_pc', 'gravestone_doji']",0.0
"['vwap_pc', 'hammer']",39.1941391941392
"['vwap_pc', 'hanging_man']",28.205128205128204
"['vwap_pc', 'harami']",32.6007326007326
"['vwap_pc', 'harami_cross']",32.234432234432234
"['vwap_pc', 'high_wave']",37.72893772893773
"['vwap_pc', 'hikkake']",0.0
"['vwap_pc', 'homing_pigeon']",28.205128205128204
"['vwap_pc', 'identical_three_crows']",33.33333333333333
"['vwap_pc', 'in_neck']",28.205128205128204
"['vwap_pc', 'inverted_hammer']",35.16483516483517
"['vwap_pc', 'kicking']",33.33333333333333
"['vwap_pc', 'kicking_by_length']",33.33333333333333
"['vwap_pc', 'ladder_bottom']",31.868131868131865
"['vwap_pc', 'long_leader']",0.0
"['vwap_pc', 'long_line']",35.16483516483517
"['vwap_pc', 'marubozu']",34.798534798534796
"['vwap_pc', 'matching_low']",28.205128205128204
"['vwap_pc', 'mat_hold']",28.205128205128204
