Seed,Average Error
0,1.6662108106850915
1,1.4832842801531283
2,1.680575575238317
3,1.7433990417455074
4,1.705337687505103
5,1.7341258047143298
6,1.4898728523772604
7,1.4381052088459176
8,1.8728420268946298
9,1.7433343836383353
