Features,Accuracy
"['open_pc', 'ad']",39.82825598037211
"['open_pc', 'adosc']",38.519730116540586
"['open_pc', 'obv']",40.155387446329996
"['open_pc', 'adx']",37.538335718666936
"['open_pc', 'ht_trendline']",41.01410754446944
"['open_pc', 'kama']",38.78552443263136
"['open_pc', 'mama']",43.95829073809037
"['open_pc', 'fama']",42.26129625843386
"['open_pc', 'sar']",26.252300143120017
"['open_pc', 'volatility']",33.22428951134737
"['high_pc', 'low_pc']",43.8151707217338
"['high_pc', 'close_pc']",46.04375383357186
"['high_pc', 'volume_pc']",24.759762829687183
"['high_pc', 'vwap_pc']",42.83377632386015
"['high_pc', 'fracocp']",46.12553670006134
"['high_pc', 'frachp']",32.93804947863423
"['high_pc', 'fraclp']",33.060723778368434
"['high_pc', 'sma_1']",43.038233490083826
"['high_pc', 'sma_2']",39.01042731547741
"['high_pc', 'sma_3']",28.41954610509098
"['high_pc', 'sma_4']",37.10897566959722
"['high_pc', 'ema_1']",41.83193620936414
"['high_pc', 'ema_2']",39.46023308116949
"['high_pc', 'ema_3']",36.822735636884076
"['high_pc', 'ema_4']",35.268861173584135
"['high_pc', 'atr']",44.85790226947455
"['high_pc', 'natr']",45.00102228583111
"['high_pc', 'rsi']",38.172152933960334
"['high_pc', 'slow_k']",35.739112655898595
"['high_pc', 'slow_d']",36.59783275403803
"['high_pc', 'three_black_crows']",47.20915968104682
"['high_pc', 'three_inside']",46.82069106522184
"['high_pc', 'three_lines']",46.922919648333675
"['high_pc', 'three_outside']",28.624003271314656
"['high_pc', 'three_stars']",28.624003271314656
"['high_pc', 'three_whitesoldiers']",46.82069106522184
"['high_pc', 'abandoned_baby']",0.0
"['high_pc', 'advance_block']",28.889797587405436
"['high_pc', 'belthold']",44.96013085258638
"['high_pc', 'breakaway']",46.86158249846657
"['high_pc', 'closing_marubozu']",46.88202821508894
"['high_pc', 'conceal_baby']",46.841136781844206
"['high_pc', 'counterattack']",0.0
"['high_pc', 'dark_cloud_cover']",47.16826824780209
"['high_pc', 'doji']",28.624003271314656
"['high_pc', 'doji_star']",46.61623389899816
"['high_pc', 'dragonfly_doji']",27.111020241259453
"['high_pc', 'engulfing']",27.949294622776527
"['high_pc', 'evening_doji_star']",28.562666121447556
"['high_pc', 'evening_star']",28.583111838069925
"['high_pc', 'gap_side_by_side']",24.453077080351665
"['high_pc', 'gravestone_doji']",30.40278061746064
"['high_pc', 'hammer']",28.41954610509098
"['high_pc', 'hanging_man']",31.20016356573298
"['high_pc', 'harami']",24.800654262931914
"['high_pc', 'harami_cross']",46.14598241668371
"['high_pc', 'high_wave']",44.714782253117974
"['high_pc', 'hikkake']",23.38989981598855
"['high_pc', 'homing_pigeon']",28.54222040482519
"['high_pc', 'identical_three_crows']",28.624003271314656
"['high_pc', 'in_neck']",24.718871396442445
"['high_pc', 'inverted_hammer']",28.664894704559394
"['high_pc', 'kicking']",0.0
"['high_pc', 'kicking_by_length']",24.24861991412799
"['high_pc', 'ladder_bottom']",46.86158249846657
"['high_pc', 'long_leader']",34.737272541402575
"['high_pc', 'long_line']",44.244530770803514
"['high_pc', 'marubozu']",28.603557554692294
"['high_pc', 'matching_low']",28.562666121447556
"['high_pc', 'mat_hold']",0.0
"['high_pc', 'morning_doji_star']",46.922919648333675
"['high_pc', 'morning_star']",46.96381108157841
"['high_pc', 'on_neck']",28.624003271314656
"['high_pc', 'piercing']",46.902473931711306
"['high_pc', 'rickshaw_man']",32.09977509711715
"['high_pc', 'rise_fall_three_methods']",46.86158249846657
"['high_pc', 'separating_lines']",46.86158249846657
"['high_pc', 'shooting_star']",46.06419955019423
"['high_pc', 'short_line']",37.047638519730114
"['high_pc', 'spinning_top']",42.56798200776937
