Features,Accuracy
"['open_pc', 'side_gap_3_methods']",42.66092660926609
"['open_pc', 'ad']",29.233292332923327
"['open_pc', 'adosc']",29.294792947929476
"['open_pc', 'obv']",29.86879868798688
"['open_pc', 'adx']",34.58384583845838
"['open_pc', 'ht_trendline']",42.35342353423534
"['open_pc', 'kama']",43.439934399344
"['open_pc', 'mama']",42.14842148421484
"['open_pc', 'fama']",31.42681426814268
"['open_pc', 'sar']",40.56990569905699
"['open_pc', 'volatility']",34.17384173841738
"['high_pc', 'low_pc']",32.59532595325953
"['high_pc', 'close_pc']",47.068470684706845
"['high_pc', 'volume_pc']",30.38130381303813
"['high_pc', 'vwap_pc']",44.52644526445265
"['high_pc', 'fracocp']",30.565805658056583
"['high_pc', 'frachp']",32.55432554325543
"['high_pc', 'fraclp']",32.492824928249284
"['high_pc', 'sma_1']",44.362443624436246
"['high_pc', 'sma_2']",38.78638786387864
"['high_pc', 'sma_3']",41.16441164411644
"['high_pc', 'sma_4']",37.12587125871259
"['high_pc', 'ema_1']",31.73431734317343
"['high_pc', 'ema_2']",44.17794177941779
"['high_pc', 'ema_3']",43.111931119311194
"['high_pc', 'ema_4']",37.904879048790484
"['high_pc', 'atr']",35.15785157851579
"['high_pc', 'natr']",39.52439524395244
"['high_pc', 'tr']",27.85977859778598
"['high_pc', 'rsi']",41.90241902419024
"['high_pc', 'slow_k']",39.87289872898729
"['high_pc', 'slow_d']",35.629356293562935
"['high_pc', 'three_black_crows']",28.782287822878228
"['high_pc', 'three_inside']",42.94792947929479
"['high_pc', 'three_lines']",42.76342763427634
"['high_pc', 'three_outside']",42.435424354243544
"['high_pc', 'three_stars']",0.0
"['high_pc', 'three_whitesoldiers']",28.823288232882327
"['high_pc', 'abandoned_baby']",28.761787617876177
"['high_pc', 'advance_block']",28.884788847888476
"['high_pc', 'belthold']",41.779417794177945
"['high_pc', 'breakaway']",0.0
"['high_pc', 'closing_marubozu']",42.025420254202544
