Seed,Average Error
0,10.10117156187632
1,9.564411007314568
2,9.82171704295085
3,9.472400543356123
4,9.359814974155043
5,9.430842787450482
6,9.402435135505643
7,9.693436526454404
8,9.647965191382744
9,9.046334999751126
10,10.805693580183956
11,9.38584315723578
12,9.483381992389226
13,9.357257388710567
14,9.450341955453684
15,9.307986074515735
16,9.783700937969392
17,9.309660834098384
18,9.427392460189989
19,9.375161396087632
