Features,Accuracy
['open_pc'],11.723129417499392
['high_pc'],47.282476236899825
['low_pc'],44.50402144772118
['close_pc'],41.48184255422861
['volume_pc'],65.51303923958079
['vwap_pc'],11.162563977577381
['fracocp'],44.1384352912503
['frachp'],42.7004630757982
['fraclp'],39.093346331952226
['sma_1'],51.35266877894223
['sma_2'],43.40726297830855
['sma_3'],42.43236656105289
['sma_4'],37.89909822081404
['ema_1'],55.5447233731416
['ema_2'],46.69753838654643
['ema_3'],28.686327077747993
['ema_4'],40.77504265171826
['atr'],17.328783816719472
['natr'],28.783816719473553
['rsi'],28.661954667316596
['slow_k'],34.73068486473313
['slow_d'],35.99805020716549
['three_black_crows'],0.0
['three_inside'],81.5988301242993
['three_lines'],81.84255422861321
['three_outside'],79.08847184986595
['three_stars'],0.0
['three_whitesoldiers'],0.0
['abandoned_baby'],0.0
['advance_block'],0.0
['belthold'],74.31147940531318
['breakaway'],0.0
['closing_marubozu'],75.38386546429442
['conceal_baby'],0.0
['counterattack'],0.0
['dark_cloud_cover'],0.0
['doji'],0.0
['doji_star'],80.9651474530831
['dragonfly_doji'],0.0
['engulfing'],7.969778211065075
['evening_doji_star'],0.0
['evening_star'],0.0
['gap_side_by_side'],81.81818181818183
['gravestone_doji'],0.0
['hammer'],0.0
['hanging_man'],0.0
['harami'],77.65049963441383
['harami_cross'],8.822812576163782
['high_wave'],71.87423836217401
['hikkake'],8.969047038752134
['homing_pigeon'],0.0
['identical_three_crows'],0.0
['in_neck'],0.0
['inverted_hammer'],0.0
['kicking'],0.0
['kicking_by_length'],0.0
['ladder_bottom'],0.0
['long_leader'],8.822812576163782
['long_line'],72.28856933950767
['marubozu'],79.38094077504265
['matching_low'],0.0
['mat_hold'],0.0
['morning_doji_star'],0.0
['morning_star'],0.0
['on_neck'],0.0
['piercing'],0.0
['rickshaw_man'],0.0
['rise_fall_three_methods'],0.0
['separating_lines'],81.64757494516208
['shooting_star'],0.0
['short_line'],52.76626858396295
['spinning_top'],64.44065318059955
['stalled_pattern'],0.0
['stick_sandwich'],0.0
['takuri'],0.0
['tasuki_gap'],81.94004387033877
['thrusting'],0.0
['tristar'],81.74506458688764
['unique_3_river'],0.0
['upside_gap_2_crows'],0.0
['side_gap_3_methods'],81.40385084084815
['ad'],27.54082378747258
['adosc'],12.722398245186447
['obv'],36.193029490616624
['adx'],39.068973921520836
['ht_trendline'],45.40580063368267
['kama'],38.313429198147695
['mama'],42.01803558371923
['fama'],61.29661223495003
['sar'],38.020960272971
['returns'],41.433097733365834
['volatility'],29.856202778454787
"['open_pc', 'high_pc']",64.6356324640507
"['open_pc', 'low_pc']",63.4413843529125
"['open_pc', 'close_pc']",36.55861564708749
"['open_pc', 'volume_pc']",48.281745064586886
"['open_pc', 'vwap_pc']",14.18474287106995
"['open_pc', 'fracocp']",19.156714599073847
"['open_pc', 'frachp']",45.08895929807458
"['open_pc', 'fraclp']",43.577869851328295
"['open_pc', 'sma_1']",50.865220570314406
"['open_pc', 'sma_2']",45.30831099195711
"['open_pc', 'sma_3']",24.73799658786254
"['open_pc', 'sma_4']",41.11625639775774
"['open_pc', 'ema_1']",42.91981476968072
"['open_pc', 'ema_2']",48.501096758469416
"['open_pc', 'ema_3']",46.185717767487205
"['open_pc', 'ema_4']",42.35924932975871
"['open_pc', 'atr']",20.10723860589812
"['open_pc', 'natr']",56.61710943212284
"['open_pc', 'rsi']",41.79868388983671
"['open_pc', 'slow_k']",36.14428466975384
"['open_pc', 'slow_d']",34.56007799171338
"['open_pc', 'three_black_crows']",9.0665366804777
"['open_pc', 'three_inside']",81.5988301242993
"['open_pc', 'three_lines']",81.84255422861321
"['open_pc', 'three_outside']",79.08847184986595
"['open_pc', 'three_stars']",0.0
"['open_pc', 'three_whitesoldiers']",81.79380940775043
"['open_pc', 'abandoned_baby']",81.23324396782841
"['open_pc', 'advance_block']",81.28198878869121
"['open_pc', 'belthold']",74.31147940531318
"['open_pc', 'breakaway']",0.0
"['open_pc', 'closing_marubozu']",34.82817450645869
"['open_pc', 'conceal_baby']",0.0
"['open_pc', 'counterattack']",9.017791859614915
"['open_pc', 'dark_cloud_cover']",9.090909090909092
"['open_pc', 'doji']",9.017791859614915
"['open_pc', 'doji_star']",80.9651474530831
"['open_pc', 'dragonfly_doji']",9.383378016085791
"['open_pc', 'engulfing']",7.2629783085547155
"['open_pc', 'evening_doji_star']",9.017791859614915
"['open_pc', 'evening_star']",9.042164270046307
"['open_pc', 'gap_side_by_side']",81.81818181818183
"['open_pc', 'gravestone_doji']",9.042164270046307
"['open_pc', 'hammer']",8.969047038752134
"['open_pc', 'hanging_man']",12.356812088715575
"['open_pc', 'harami']",8.822812576163782
"['open_pc', 'harami_cross']",8.822812576163782
