Features,Extras,Accuracy
"['closing_marubozu', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",56.027573314639554
"['conceal_baby', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",23.300856908087802
"['counterattack', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",22.818728623658448
"['dark_cloud_cover', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",56.18912193387842
"['doji', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",23.407548517680677
"['doji_star', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",53.23364038760617
"['dragonfly_doji', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",24.86596946748407
"['engulfing', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",23.10182389177437
"['evening_doji_star', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",55.581988105352586
"['evening_star', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",23.568727893645566
"['gap_side_by_side', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",53.24427013114352
"['gravestone_doji', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",54.94026357925853
"['hammer', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",23.663819779675702
"['hanging_man', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",51.964174648588134
"['harami', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",50.48131016377047
"['harami_cross', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",16.449302676215606
"['high_wave', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",53.031948478343224
"['hikkake', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",23.307526335829422
"['homing_pigeon', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",21.153208317387424
"['identical_three_crows', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",23.877420182074623
"['in_neck', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",23.964428405722387
"['inverted_hammer', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",24.00570022023578
"['kicking', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",52.470373746581586
"['kicking_by_length', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",52.51210891477942
"['ladder_bottom', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",21.373864982234505
"['long_leader', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",24.0005291705252
"['long_line', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",54.37159196701688
"['marubozu', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",24.04332129963899
"['matching_low', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",24.09194784245194
"['mat_hold', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",52.25300716313015
"['morning_doji_star', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",52.16197852969153
"['morning_star', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",52.05902445689302
"['on_neck', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",24.1983788982003
"['piercing', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",21.26260533222821
"['rickshaw_man', 'returns', 'volatility', 'atr']","[10, 30, 50, 200, 10, 30, 50, 200, 14, 14, 14, 5, 3, 3, 0.3, 0.5, 3, 10, 14, 30, 0.5, 0.05, 0.02, 0.2, 30]",24.331157105153494
